horizon_seconds,run_name,rows
10,full_cycle_run_002,717
10,full_cycle_run_003,355
10,full_cycle_run_004,959
10,pump_pwm_sweep_run_001,753
10,pump_pwm_sweep_run_002,869
10,valve_routing_run_001,654
30,full_cycle_run_002,697
30,full_cycle_run_003,336
30,full_cycle_run_004,939
30,pump_pwm_sweep_run_001,733
30,pump_pwm_sweep_run_002,849
30,valve_routing_run_001,634
60,full_cycle_run_002,667
60,full_cycle_run_003,306
60,full_cycle_run_004,909
60,pump_pwm_sweep_run_001,703
60,pump_pwm_sweep_run_002,819
60,valve_routing_run_001,604
120,full_cycle_run_002,607
120,full_cycle_run_003,246
120,full_cycle_run_004,849
120,pump_pwm_sweep_run_001,643
120,pump_pwm_sweep_run_002,759
120,valve_routing_run_001,544
