train_runs,test_run,model,train_rows,test_rows,mae_tower,mae_treated,mae_raw,avg_mae,avg_rmse,overall_r2
full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Mean Predictor,1762,717,76.96823534812883,353.0293160111893,113.32457806758993,181.10737647563602,199.45188982581945,-1.5403750696657414
full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Linear Regression,1762,717,8.609202704664357,34.306164880378866,3.77199407364923,15.562453886230818,23.807314781160372,0.9558066125541582
full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Ridge Regression,1762,717,8.743790490430685,35.76825250793535,4.254824181268378,16.25562239321147,24.279357969783774,0.954381613955973
full_cycle_run_003 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_002,Random Forest,1762,717,12.70229374055239,255.69739402578003,98.16128991011485,122.18699255881575,140.5275517024023,-0.3901936916135645
full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Mean Predictor,2124,355,59.101629267128246,54.718296596907244,32.214420705021126,48.678115523018874,60.230468438994585,-0.3924162564440865
full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Linear Regression,2124,355,8.7359989154092,9.645569264085973,3.4665653653235213,7.282711181606231,21.463491703616768,0.7498632824747904
full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Ridge Regression,2124,355,8.79192457239964,9.835194398545909,3.448761766202346,7.358626912382632,21.50149857613022,0.749179151214456
full_cycle_run_002 + pump_pwm_sweep_run_001 + valve_routing_run_001,full_cycle_run_003,Random Forest,2124,355,23.923856847066315,59.809390473268365,26.228423005523275,36.65389010861932,53.71690215182042,-0.1783504869682249
full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Mean Predictor,1726,753,89.10691225057172,49.609748337665124,127.8142236000018,88.84362806274622,95.66697929053635,-3.6452975019499
full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Linear Regression,1726,753,10.009751674304377,6.410531422028548,3.9317436953966562,6.784008930576526,9.196281258726989,0.956051364462775
full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Ridge Regression,1726,753,10.073466248545412,7.1023798854940505,4.128579138211325,7.101475090750262,9.432008537785501,0.9543124777634162
full_cycle_run_002 + full_cycle_run_003 + valve_routing_run_001,pump_pwm_sweep_run_001,Random Forest,1726,753,23.785619853271555,72.69036132517621,32.859837500035546,43.11193955949444,47.44599832772496,-0.21244690164673644
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Mean Predictor,1825,654,162.81614092413528,319.746023208073,39.54254534791189,174.03490316004005,187.16278100739873,-7.656301525514031
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Linear Regression,1825,654,8.586263145237558,24.596580161170735,3.052104159358839,12.078315821922379,15.90307498231485,0.9227970824672839
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Ridge Regression,1825,654,8.756547438898902,24.657496148580044,3.0759819828809882,12.163341856786644,15.966174478246684,0.9225372112831638
full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001,valve_routing_run_001,Random Forest,1825,654,97.92637445266311,52.60729006472424,24.215155639917626,58.249606719101656,66.18242914128189,0.007220324509371043
